"","Control_T09_Rep1","Control_T09_Rep3","Control_T09_Rep4","Control_T12_Rep1","Control_T12_Rep3","Control_T12_Rep4","Control_T15_Rep1","Control_T15_Rep3","Control_T15_Rep4","Control_T18_Rep1","Control_T18_Rep3","Control_T18_Rep4","Control_T21_Rep1","Control_T21_Rep3","Control_T21_Rep4","Control_T24_Rep1","Control_T24_Rep3","Control_T24_Rep4","Control_T27_Rep1","Control_T27_Rep3","Control_T27_Rep4","Control_T30_Rep1","Control_T30_Rep3","Control_T30_Rep4","Control_T33_Rep1","Control_T33_Rep3","Control_T33_Rep4","Control_T36_Rep1","Control_T36_Rep4","Control_T39_Rep1","Control_T39_Rep4","Control_T42_Rep1","Control_T42_Rep3","Control_T42_Rep4","Infected_T09_Rep1","Infected_T09_Rep3","Infected_T09_Rep4","Infected_T12_Rep1","Infected_T12_Rep3","Infected_T12_Rep4","Infected_T15_Rep1","Infected_T15_Rep3","Infected_T15_Rep4","Infected_T18_Rep1","Infected_T18_Rep3","Infected_T18_Rep4","Infected_T21_Rep1","Infected_T21_Rep3","Infected_T21_Rep4","Infected_T24_Rep1","Infected_T24_Rep3","Infected_T24_Rep4","Infected_T27_Rep1","Infected_T27_Rep3","Infected_T27_Rep4","Infected_T30_Rep1","Infected_T30_Rep3","Infected_T30_Rep4","Infected_T33_Rep1","Infected_T33_Rep3","Infected_T33_Rep4","Infected_T36_Rep1","Infected_T36_Rep3","Infected_T36_Rep4","Infected_T39_Rep1","Infected_T39_Rep3","Infected_T39_Rep4","Infected_T42_Rep1","Infected_T42_Rep3","Infected_T42_Rep4"
"Lsat_1_v5_gn_0_15441",8.05530457597761,12.1813364561349,15.7936427236762,11.0517423500325,14.7657406477448,8.62942329651033,17.1789707786425,8.90450492067744,16.2744645640766,18.8169539192501,8.896129384457,13.0280307667771,15.6442210945232,8.74537397489644,12.8634165922938,13.7265562134632,11.4736629483191,12.6485372845019,12.6271340009592,14.514908735596,19.6385687630317,12.1536865774828,10.4291391907315,20.2743171588974,23.4394464948789,8.13589526317117,11.3304671939562,8.61536152968536,14.1402159829957,9.5386445876319,5.26082212736755,6.96695143983837,11.2998701541637,10.1065303759224,13.3287199169707,16.958505074304,15.5314039115492,8.29669313194784,6.4249339457508,11.7299199931913,13.6311916228591,15.1834415549506,9.98638806552774,8.90933565620663,5.3629706689735,10.0367594948927,11.3888975362762,8.6218707955657,5.91353009748238,10.0658189938047,14.0615986833944,20.8338781047512,6.4819343267666,13.0615390361443,10.7021955101569,12.8470177045654,12.7009681886647,8.43182440092001,7.44564477063816,7.57078393912119,10.442723220126,11.2558626766848,10.916594129648,18.4543617209315,6.91934810185166,4.28056247608043,10.4697695668424,16.7480166326945,3.00834692285599,11.4777601317443
"Lsat_1_v5_gn_0_15460",310.704605073422,297.974230234684,300.956636345608,341.376041478783,319.309141507482,384.00933669471,287.357329388202,324.378393538964,314.001433942184,286.435854104141,348.431734224566,368.693270699792,417.831071732889,297.342715146479,410.342989294173,276.642902148258,322.537413991638,271.040084667897,269.055086020439,266.851014446727,339.466688618119,280.547598496896,331.64662626526,396.024995170463,271.404117309124,320.011880351399,287.982707846386,254.631796321812,268.664103676919,300.033729756422,331.431794024156,341.38062055208,315.140823188342,278.651480364717,282.568862239779,270.031580798533,255.670802851656,374.733973126311,391.920970690799,376.423796145139,266.262609699848,381.032080926618,299.591641965832,299.947633758957,273.511504117648,339.158831264917,412.628518429698,367.507242660988,360.725335946425,229.683687949544,278.41965393121,260.423476309389,324.09671633833,204.319789208257,395.981233875805,268.619461095458,217.730883234251,229.345623705024,166.286066544252,254.378340354472,255.498628119084,234.121943675044,236.526206142374,284.197170502345,239.409444324068,278.236560945228,246.693945418723,232.797431194453,269.247049595611,216.311633252104
"Lsat_1_v5_gn_0_16380",109.321990673982,120.876338680107,128.981415576689,124.02510859481,107.05161969615,109.306028422464,135.8700416129,137.383790204738,110.091966168754,209.077265769446,135.665973112969,147.216747664581,192.945393499119,167.133813742465,189.092223906719,213.289565778428,246.04632766951,146.361645720664,182.607784013872,207.674848063143,203.867047159091,175.215648158711,155.394173941899,141.920220112282,114.729922317039,195.261486316108,163.347568712868,123.486848592157,75.414485242644,151.751163894144,135.466169779715,234.885791400265,173.264675697176,150.154165585133,135.952943153101,117.405035129797,96.7725936027298,77.4358025648465,70.6742734032588,71.4458763221651,159.030568933356,137.373995020982,117.340059769951,151.458706155513,127.179018721372,159.751755293709,202.371948529215,133.638997331268,141.185531077392,271.777112832727,156.552465341791,188.546596847998,372.248228480025,138.079126953525,175.012373636683,221.319077728649,144.246710142692,155.145568976928,147.671954617657,183.970049720645,144.805761985748,122.688903175865,75.203204004242,114.417042669775,229.722356981475,152.673394980202,124.328513606253,242.84624117407,166.963254218507,329.32342531851
"Lsat_1_v5_gn_0_17841",86.3068347426172,63.7177599243977,126.34914178941,162.092221133811,146.734547686964,80.5412841007631,67.1541584983298,73.7801836284702,38.2928577978274,16.7261812615557,64.4969380373133,41.6896984536867,160.353266218862,55.3873685076775,19.2951248884407,34.8443350034065,24.2221773353404,89.443227940406,24.2829500018447,32.3794117947912,81.359784875417,16.2049154366438,50.059868115511,83.8005109234426,41.9442726750464,51.5273366667508,27.3819623853941,29.6751341578051,21.2103239744936,29.4830832708622,17.0976719139446,873.854766311155,128.065195080521,20.2130607518448,89.3024234437037,53.4845160035741,111.109274136467,30.4212081504754,41.3031467941123,186.612363528043,159.030568933356,156.172541708064,67.4081194423123,210.85427719689,65.1217866946782,898.708173105187,308.376302520708,165.97101281464,187.01538933288,113.469232293799,280.294533755662,647.933609057761,179.642179913246,264.029681944917,188.862273708651,185.69780136599,619.625805204141,724.293716039029,1760.89498825593,483.773093709844,669.030467636075,1089.56750710309,1017.66916386386,558.059898440969,2035.67221156476,1298.43728441106,2200.61469083068,2036.55882253565,8181.19945670687,5237.39023857748
"Lsat_1_v5_gn_0_18260",443.041751678768,480.694277076706,415.899258390141,703.627596285405,598.935355024149,788.15399441461,977.639609766382,708.544177259619,838.613585772419,876.033743573978,863.665894407701,1102.17140286934,447.16398628512,1304.032430479,926.80916547477,888.002598117119,475.519586635893,720.966625216606,509.941950038738,768.173631545391,519.954487249792,502.352378535958,542.315237918036,437.925250632184,371.330178682029,547.816947720192,412.617846979904,605.947094254537,586.818963294323,551.507087066717,720.732631449355,389.154001853829,662.925715710934,736.332927388632,597.126652280288,527.018157693754,567.493604460452,1003.89986896569,881.133798274396,734.719534118982,441.650608580635,387.539270164454,1022.3564782084,1063.18072164066,1140.01433649037,487.201033814585,265.44891949936,910.685102781627,1160.53028163092,629.571224339785,740.577530658774,791.687367980544,359.284359826492,870.458280051616,305.956883408015,353.292986875548,645.02774158147,510.968558695753,415.715166360631,358.855158714344,369.672401992462,320.792086285517,376.01602002121,338.822081196303,369.493188638879,395.238601958093,429.260552240537,470.619267378715,185.013335755643,194.239017614134
"Lsat_1_v5_gn_0_18280",20.7136403382281,23.4256470310286,28.0775870643133,30.6992843056459,26.7629049240375,46.0235909147218,26.5493184760839,41.9783803403365,32.5489291281533,36.588521509653,37.0672057685708,37.7812892236536,37.8068676450976,29.1512465829881,31.5153706511199,24.2854456084349,25.4970287740425,18.9728059267528,25.2542680019184,30.1463489123918,28.9902681739992,36.4610597324485,23.9870201386824,29.7356651663829,18.5048261801675,18.9837556140661,31.1587847833795,12.4444110984344,37.707242621322,24.280186223063,43.4017825507823,36.8253147534314,33.899610462491,38.9823314499864,29.3231838173356,36.5260109292701,15.5314039115492,17.9761684525537,35.7960605548973,10.6635636301739,20.901160488384,33.9819882420324,16.2278806064826,17.8186713124133,34.4762400148296,35.5468565444118,25.4060021963084,21.5546769889142,28.0892679630413,20.1316379876094,29.0606372790152,25.0006537257014,16.6678311259713,23.3241768502577,25.811177406849,28.6138121601683,20.8658763099491,21.0795610023,17.373171131489,28.7689789686605,21.5816279882605,13.5070352120218,16.9813686461192,26.5742808781414,16.606435444444,24.2565206977891,19.6308179378294,33.4960332653889,13.537561152852,7.94614162966914
"Lsat_1_v5_gn_0_18301",424.629626933677,731.817213249333,673.86208954352,400.318667345623,313.771988764577,402.706420503815,357.634937119012,457.945967349126,429.837328780612,602.142525416004,429.23824280005,482.037138370752,492.792964477479,397.428661748072,466.298851470651,657.818809306736,611.928690577021,675.793277771957,474.974502036082,493.506897010266,418.956133611343,610.722750518513,593.41801995262,450.089840927522,935.110549637799,664.431446492312,752.531862798589,936.202619559143,611.171557487261,659.033626054568,507.669335290969,588.209757277782,408.050866678132,524.095789494261,937.009010163041,870.101760350827,635.592836995707,316.657121202676,258.833053243104,392.4191415904,472.547976259116,503.945655419076,376.986149473672,588.016153309638,454.320229528755,480.50986081799,588.718395721352,358.885371865422,357.768570897684,575.581831554833,603.711303473735,423.969419431686,596.337958062527,460.885734561092,433.753688617536,583.955350207517,454.5132187515,524.459477737225,743.32353626871,734.366042094755,715.674631352638,606.690998273312,396.636253377212,524.842047343293,502.344672194431,545.058288620909,494.042251435374,551.009747215648,314.372253438451,384.063512100675
"Lsat_1_v5_gn_0_19261",119.678810843096,71.2139669743269,67.5616938735039,114.201337617003,75.6744208196922,74.7883352364229,81.2096800444918,106.854059048129,85.2016086001659,150.535631354001,116.391026113312,91.1962153674396,48.2363483747797,66.0761589214398,97.7619661014331,98.1976713732366,20.397623019234,51.4976160869005,72.848850005534,59.1761663835839,77.61910511103,111.408793626926,69.8752325779008,74.3391629159572,71.5519945633145,65.0871621053694,51.9313079722991,91.8971896499772,46.3484857220416,62.4347645735906,93.3795927607741,38.8158723076709,50.2216451296162,67.8581325240504,66.6435995848535,101.751030445824,97.9673169805412,127.215961356534,123.909440382337,86.3748654044086,28.1711293539088,72.302102642622,61.1666269013574,72.264611433676,55.1619840237274,64.4025400922284,70.961592341413,7.54413694611999,82.050230102568,107.978785569905,68.4331135925196,81.2521246085295,69.4492963582136,76.5033000688451,76.8039913081848,57.2276243203366,115.215925711458,62.3955005668081,101.757145198722,72.6795258155634,72.4028809928738,78.7910387367938,66.7125196811824,53.8867362251201,94.1031341851826,51.3667497129652,79.1776323492454,85.4148848267418,88.7462342242517,161.571546469939
"Lsat_1_v5_gn_0_19660",46.0303118627292,50.5993975870217,45.6260789795091,34.3831984223235,37.8372104098461,46.0235909147218,26.5493184760839,34.3459475511844,27.7623219034248,37.6339078385002,43.7393028069136,36.4784861469759,47.5845058291746,44.6985780939151,44.3787872434137,48.5708912168697,42.0700974771702,38.8490788023986,38.8527200029515,45.7777890891875,45.8233271137406,46.5891318803509,61.5319212253156,50.0099823252803,24.6731015735567,51.5273366667508,43.433457576832,31.5896589421797,42.4206479489872,39.0217278584942,26.3041106368378,43.7922661932697,38.9217749754526,41.8699115573928,34.6546717841238,37.8305113196012,38.2311480899673,30.4212081504754,26.617583489539,44.7869672467304,49.9810359504834,46.9963667177043,57.4217313767845,35.6373426248265,34.4762400148296,43.0744261655813,56.0684186401288,39.8761524294914,42.1339019445619,42.0934248831833,27.1857574545626,38.5426744937896,46.2995309054757,36.385715886402,54.1405184631467,34.4533656622435,29.9379964447096,41.315939564508,28.5416382874463,31.0402141503969,38.2899851404621,34.893174297723,21.8331882592961,54.6249106939573,24.909653166666,31.3907914912565,37.2985540818759,31.8212316021195,21.0584284599919,30.018757267639
"Lsat_1_v5_gn_0_19860",708.866802686029,737.43936853678,716.855894735749,488.732606145883,610.932519300442,727.748031339038,498.190152580633,625.859488710472,625.130903549532,606.324070731393,664.244327372789,608.40903680849,791.988692910234,592.742013854092,702.985716768858,721.172145676566,609.378987699617,629.716463378414,692.54973405261,558.265720599848,721.951194526689,647.183810250961,775.92795579042,537.945215282745,309.647424748137,692.907079913412,715.707844418232,689.228922374829,754.14485242644,587.927366401312,572.114406351222,763.378822050861,880.134330896524,719.007446744193,599.792396263682,615.724184236267,658.292581174125,575.237390481717,571.819121171821,571.567010577321,705.186979955912,668.794449444254,577.962209292418,536.539991740444,502.586965549517,688.354422024727,721.880889991658,627.241100377405,691.883021405438,608.524511898194,524.028910934499,569.806566164944,760.238297467911,482.343977263329,790.703385926886,679.724027641549,677.687374066608,639.132289589737,456.666212599141,661.686516279192,543.021607446554,602.188653202638,564.024030031815,623.757426167486,427.615712694433,509.386934653572,533.958247908961,381.854779225434,374.539191895571,437.920694257321
"Lsat_1_v5_gn_0_19880",67.8947099975255,40.2921128933692,44.7486543837494,23.3314560722909,60.9086801719474,57.5294886434022,26.5493184760839,45.7945967349126,44.0367864675015,27.1800445500279,54.8594645374848,36.4784861469759,74.9618927445901,78.708365774068,47.5946413914872,64.4092253093273,68.8419776899149,61.4357525247233,57.3077620043534,31.2628803535915,54.2398565836113,40.5122885916095,64.660662982535,52.7132246131333,17.2711711014897,52.8833192106126,60.4291583677662,53.6066939624867,42.4206479489872,29.4830832708622,36.8257548915729,74.6459082839825,119.276407182839,66.4143424703472,37.320415767518,39.1350117099323,54.957275379328,34.5695547164493,34.8782128483615,66.1140945070782,67.247212006105,52.0575139026879,53.6768358522116,48.506383017125,54.3958453567312,66.0753333413772,56.0684186401288,118.550723439028,72.4407436941591,53.9893927849525,66.558233768067,60.4182465037783,70.3752869763231,49.4472549225463,115.205986962277,69.4906866746945,83.4635052397964,64.9250478870841,47.1557502140417,66.6228986642664,74.4914256368991,83.2933838074677,82.4809334240073,87.1045873227968,52.5870455740726,117.002041012865,79.8319929471731,70.3416698573168,106.796315761388,191.590303737578
"Lsat_1_v5_gn_0_20061",43.7287962695927,45.914268180816,41.2389560007102,38.067112539001,37.8372104098461,28.7647443217011,29.6727677085643,43.2504524718619,36.378214907936,27.1800445500279,35.584517537828,28.6616676869096,44.3252931011489,45.6702863133481,36.0175664584227,43.2914465193839,33.1461374062553,25.2970745690037,26.2255860019922,20.0975659415945,63.5915559945788,23.2945659401754,27.1157618959018,40.5486343177948,13.5702058654562,35.2555461404084,39.6566351788466,40.205020471865,29.8515670752132,19.0772891752638,31.5649327642053,51.7544964102279,69.0547620532223,49.0888618259088,25.3245678422443,35.221510538939,38.2311480899673,24.8900793958435,18.3569541307166,34.1234036165565,54.5247664914365,57.8416821140976,39.945552262111,27.7179331526429,39.8392106838031,35.965054856699,42.9273830213486,62.5085632678513,31.0460330117825,29.2823825274319,29.0606372790152,37.5009805885521,37.0396247243806,26.1230780722886,35.8838320046437,40.2929191643186,33.5668444986138,45.531851764968,37.2282238531908,49.9671739981998,52.9097976486386,57.4048996510926,38.8145569054152,58.3157830381436,34.5967405092583,41.3787706021109,47.1139630507907,20.0976199592334,46.6293773042679,82.9930347987666
